や[編集]
やあ[編集]
吉野美穂（よしの みほ）（1996年）（引退）
吉原ミィナ（よしはら みぃな）（2008年）
吉野ゆうき（よしの ゆうき）（1999年）（引退）
吉見りいな（よしみ りいな）（2013年）
吉村彩（よしむら あや）（1997年）（引退）
吉村杏菜（よしむら あんな）（2012年）
吉村すもも（よしむら すもも）（2001年）（引退）
よた[編集]
四ツ葉あおい（よつば あおい）（2007年）（引退）
よな[編集]
米倉茜（よねくら あかね）
米倉エミ（よねくら えみ）（2008年）
米倉夏弥（よねくら かや）（2004年）＝若槻千春
米田友花（よねだ ゆか）（2003年）（引退）＝久遠ゆり
米山涼子（よねやま りょうこ）



