
さ[編集]
さあ[編集]
翔田千里（しょうだ ちさと）（2005年）（引退）
翔野あみ（しょうの あみ）（2001年）
翔乃まゆ（しょうの まゆ）（2007年）＝安藤真央
しら[編集]
白井綾（しらい あや）（2003年）（引退）
白井エリコ（しらい えりこ）（2009年）（死亡）＝石野容子、いしのようこ
白井ひとみ（しらい ひとみ）（2007年）（引退）
白井まい（しらい まい）（2014年）
白井ゆきな（しらい ゆきな）（2010年）
白井ゆり（しらい ゆり）（1995年）（引退）
白井ユリ（しらい ゆり）（2013年）＝相原ひとみ
白石あや（しらいし あや）（2003年）（引退）
白石ありさ（しらいしありさ）（2014年）
白石えみ（しらいし えみ）（2004年）（引退）
白石ことこ（しらいし ことこ）（1998年）（引退）＝白石琴子、本宮あいか、仁科留美
白石さゆり（しらいし さゆり）（2006年）＝北条麻妃
白石夏美（しらいし なつみ）（2012年）
白石ナナ（しらいし なな）
白石ひとみ（しらいし ひとみ）（1990年）（引退）
白石ひより（しらいし ひより）（2002年）（引退）
白石マリエ（しらいし まりえ）（2013年）＝塔堂マリエ
白石麻梨子（しらいし まりこ）（2005年）
白石茉莉奈（しらいし まりな）（2013年）
白石舞（しらいし まい）（1997年）（引退）
白石みく（しらいし みく）（2006年）
白石美咲（しらいし みさき）（2009年）
白石みさと（しらいし みさと）（2004年）
白石美月（しらいし みづき）（2003年）（引退）
白石みなみ（しらいし みなみ）（2015年）
白石みゆき（しらいし みゆき）（2000年）（引退）
白石もも（しらいし もも）（2007年）
白石ももこ（しらいし ももこ）（引退）
白石優（しらいし ゆう）（2008年）
白石悠（しらいし ゆう）（2014年）
白石ゆか（しらいし ゆか）（1996年）（引退）
白石優杞菜（しらいし ゆきな）（2014年）
