
か[編集]
かあ[編集]
清元英里子（きよもと えりこ）（2008年）
きら[編集]
綺羅女王様（きらじょうおうさま）（2010年）
煌芽木ひかる（きらめき ひかる）（2010年）
きららかおり（きらら かおり）（1991年）（引退）
キラリ（きらり）（2009年）
桐岡さつき（きりおか さつき）（2010年）
桐嶋あおい（きりしま あおい）（2012年）
桐島秋子（きりしま あきこ）（2008年）
桐島あゆみ（きりしま あゆみ）（2007年）（引退）
桐島えりか（きりしま えりか）（1997年）（引退）
霧島さくら（きりしま さくら）（2014年）
霧島さつき（きりしま さつき）（2007年）
桐島さゆり（きりしま さゆり）（2008年）
桐島千沙（きりしま ちさ）（2006年）
桐嶋永久子（きりしま とわこ）（2013年）
霧島のぁ（きりしま のあ）（2007年）
桐島ひかり（きりしま ひかり）（2008年）
桐島美咲（きりしま みさき）（2007年）（引退）
桐島みやび（きりしま みやび）（2000年）（引退）
桐嶋もも香（きりしま ももか）（2015年）
桐島ももこ（きりしま ももこ）（引退）
桐嶋ゆう（きりしま ゆう）（1988年）（引退）
桐島りおん（きりしま りおん）（2005年）（引退）
